Date	Time	Close
2008/04/15	14:30	111.56
2008/04/15	15:30	111.34
2008/04/15	16:00	111.54
2008/04/16	09:30	111.43
2008/04/16	10:30	111.50
2008/04/16	11:30	111.94
2008/04/16	12:30	112.00
2008/04/16	13:30	111.62
2008/04/16	14:30	111.52
2008/04/16	15:30	111.53
2008/04/16	16:00	112.23
2008/04/17	09:30	113.00
2008/04/17	10:30	113.22
2008/04/17	11:30	112.93
2008/04/17	12:30	112.51
2008/04/17	13:30	112.41
2008/04/17	14:30	112.57
2008/04/17	15:30	112.77
2008/04/17	16:00	112.85
2008/04/18	09:30	112.29
2008/04/18	10:30	111.78
2008/04/18	11:30	111.70
2008/04/18	12:30	111.88
2008/04/18	13:30	110.91
2008/04/18	14:30	111.15
2008/04/18	15:30	111.86
2008/04/18	16:00	112.54
2008/04/21	09:30	114.26
2008/04/21	10:30	114.18
2008/04/21	11:30	114.03
2008/04/21	12:30	114.35
2008/04/21	13:30	114.41
2008/04/21	14:30	113.87
2008/04/21	15:30	113.88
2008/04/21	16:00	114.05
2008/04/22	09:30	114.21
2008/04/22	10:30	114.60
2008/04/22	11:30	114.60
2008/04/22	12:30	114.90
2008/04/22	13:30	114.53
2008/04/22	14:30	114.33
2008/04/22	15:30	115.29
2008/04/22	16:00	114.95
2008/04/23	09:30	115.90
2008/04/23	10:30	115.32
2008/04/23	11:30	115.35
2008/04/23	12:30	115.44
2008/04/23	13:30	115.10
2008/04/23	14:30	115.19
2008/04/23	15:30	115.50
2008/04/23	16:00	115.96
2008/04/24	09:30	115.70
2008/04/24	10:30	115.79
2008/04/24	11:30	116.59
2008/04/24	12:30	116.23
2008/04/24	13:30	116.10
2008/04/24	14:30	114.46
2008/04/24	15:30	115.67
2008/04/24	16:00	115.86
2008/04/25	09:30	112.98
2008/04/25	10:30	113.80
2008/04/25	11:30	115.35
2008/04/25	12:30	115.43
2008/04/25	13:30	115.64
2008/04/25	14:30	116.13
2008/04/25	15:30	115.87
2008/04/25	16:00	117.16
2008/04/28	09:30	117.24
2008/04/28	10:30	116.74
2008/04/28	11:30	116.65
2008/04/28	12:30	116.57
2008/04/28	13:30	116.76
2008/04/28	14:30	116.92
2008/04/28	15:30	117.23
2008/04/28	16:00	117.17
2008/04/29	09:30	115.88
2008/04/29	10:30	115.34
2008/04/29	11:30	115.76
2008/04/29	12:30	115.81
2008/04/29	13:30	115.01
2008/04/29	14:30	114.64
2008/04/29	15:30	114.96
2008/04/29	16:00	114.51
2008/04/30	09:30	113.23
2008/04/30	10:30	112.95
2008/04/30	11:30	113.27
2008/04/30	12:30	113.53
2008/04/30	13:30	113.97
2008/04/30	14:30	114.12
2008/04/30	15:30	113.99
2008/04/30	16:00	111.98
2008/05/01	09:30	111.71
2008/05/01	10:30	111.26
2008/05/01	11:30	111.35
2008/05/01	12:30	111.25
2008/05/01	13:30	110.73
2008/05/01	14:30	110.66
2008/05/01	15:30	110.10
2008/05/01	16:00	108.89
2008/05/02	09:30	110.47
2008/05/02	10:30	111.38
2008/05/02	11:30	111.06
2008/05/02	12:30	111.29
2008/05/02	13:30	111.80
2008/05/02	14:30	111.41
2008/05/02	15:30	112.01
2008/05/02	16:00	112.62
2008/05/05	09:30	115.56
2008/05/05	10:30	115.12
2008/05/05	11:30	114.94
2008/05/05	12:30	115.22
2008/05/05	13:30	114.77
2008/05/05	14:30	116.33
2008/05/05	15:30	117.69
2008/05/05	16:00	117.85
2008/05/06	09:30	118.82
2008/05/06	10:30	118.35
2008/05/06	11:30	118.02
2008/05/06	12:30	118.29
2008/05/06	13:30	117.72
2008/05/06	14:30	118.71
2008/05/06	15:30	119.95
2008/05/06	16:00	120.21
2008/05/07	09:30	120.69
2008/05/07	10:30	120.54
2008/05/07	11:30	120.22
2008/05/07	12:30	120.42
2008/05/07	13:30	120.60
2008/05/07	14:30	120.40
2008/05/07	15:30	120.13
2008/05/07	16:00	120.79
2008/05/08	09:30	121.86
2008/05/08	10:30	122.15
2008/05/08	11:30	122.59
2008/05/08	12:30	121.91
2008/05/08	13:30	122.29
2008/05/08	14:30	122.25
2008/05/08	15:30	122.33
2008/05/08	16:00	122.07
2008/05/09	09:30	123.59
2008/05/09	10:30	123.98
2008/05/09	11:30	124.24
2008/05/09	12:30	125.05
2008/05/09	13:30	124.59
2008/05/09	14:30	125.72
2008/05/09	15:30	124.53
2008/05/09	16:00	124.49
2008/05/12	09:30	124.96
2008/05/12	10:30	124.80
2008/05/12	11:30	124.72
2008/05/12	12:30	124.79
2008/05/12	13:30	123.42
2008/05/12	14:30	123.91
2008/05/12	15:30	124.29
2008/05/12	16:00	124.85
2008/05/13	09:30	122.35
2008/05/13	10:30	122.70
2008/05/13	11:30	122.23
2008/05/13	12:30	122.50
2008/05/13	13:30	123.03
2008/05/13	14:30	122.09
2008/05/13	15:30	122.42
2008/05/13	16:00	122.93
2008/05/14	09:30	124.05
2008/05/14	10:30	124.32
2008/05/14	11:30	123.90
2008/05/14	12:30	123.85
2008/05/14	13:30	124.17
2008/05/14	14:30	123.77
2008/05/14	15:30	123.17
2008/05/14	16:00	123.56
2008/05/15	09:30	123.50
2008/05/15	10:30	123.67
2008/05/15	11:30	124.09
2008/05/15	12:30	123.59
2008/05/15	13:30	124.44
2008/05/15	14:30	125.24
2008/05/15	15:30	124.68
2008/05/15	16:00	124.68
2008/05/16	09:30	123.10
2008/05/16	10:30	123.78
2008/05/16	11:30	123.86
2008/05/16	12:30	124.92
2008/05/16	13:30	125.49
2008/05/16	14:30	126.02
2008/05/16	15:30	125.17
2008/05/16	16:00	125.30
2008/05/19	09:30	124.45
2008/05/19	10:30	124.12
2008/05/19	11:30	124.30
2008/05/19	12:30	125.60
2008/05/19	13:30	125.58
2008/05/19	14:30	125.20
2008/05/19	15:30	125.19
2008/05/19	16:00	125.29
2008/05/20	09:30	124.99
2008/05/20	10:30	124.84
2008/05/20	11:30	124.92
2008/05/20	12:30	125.01
2008/05/20	13:30	125.38
2008/05/20	14:30	126.93
2008/05/20	15:30	127.37
2008/05/20	16:00	127.42
2008/05/21	09:30	128.34
2008/05/21	10:30	128.78
2008/05/21	11:30	129.79
2008/05/21	12:30	129.50
2008/05/21	13:30	129.16
2008/05/21	14:30	128.61
2008/05/21	15:30	128.23
2008/05/21	16:00	130.42
2008/05/22	09:30	134.20
2008/05/22	10:30	135.02
2008/05/22	11:30	134.36
2008/05/22	12:30	134.36
2008/05/22	13:30	134.47
2008/05/22	14:30	133.10
2008/05/22	15:30	131.55
2008/05/22	16:00	132.87
2008/05/23	09:30	132.36
2008/05/23	10:30	132.19
2008/05/23	11:30	132.25
2008/05/23	12:30	132.75
2008/05/23	13:30	132.44
2008/05/23	14:30	133.44
2008/05/23	15:30	132.98
2008/05/23	16:00	132.98
2008/05/27	09:30	132.82
2008/05/27	10:30	132.52
2008/05/27	11:30	132.50
2008/05/27	12:30	132.30
2008/05/27	13:30	132.30
2008/05/27	14:30	129.90
2008/05/27	15:30	129.81
2008/05/27	16:00	129.48
2008/05/28	09:30	126.86
2008/05/28	10:30	126.32
2008/05/28	11:30	126.81
2008/05/28	12:30	126.91
2008/05/28	13:30	126.46
2008/05/28	14:30	127.31
2008/05/28	15:30	129.53
2008/05/28	16:00	128.44
2008/05/29	09:30	130.34
2008/05/29	10:30	129.85
2008/05/29	11:30	129.95
2008/05/29	12:30	129.54
2008/05/29	13:30	129.67
2008/05/29	14:30	128.91
2008/05/29	15:30	130.17
2008/05/29	16:00	131.11
2008/05/30	09:30	126.07
2008/05/30	10:30	126.29
2008/05/30	11:30	126.38
2008/05/30	12:30	127.50
2008/05/30	13:30	128.36
2008/05/30	14:30	128.46
2008/05/30	15:30	126.44
2008/05/30	16:00	128.02
2008/06/02	09:30	127.00
2008/06/02	10:30	127.05
2008/06/02	11:30	126.43
2008/06/02	12:30	126.36
2008/06/02	13:30	126.19
2008/06/02	14:30	126.38
2008/06/02	15:30	127.15
2008/06/02	16:00	128.00
2008/06/03	09:30	127.63
2008/06/03	10:30	127.68
2008/06/03	11:30	127.55
2008/06/03	12:30	127.33
2008/06/03	13:30	127.11
2008/06/03	14:30	126.42
2008/06/03	15:30	126.75
2008/06/03	16:00	126.19
2008/06/04	09:30	123.83
2008/06/04	10:30	123.35
2008/06/04	11:30	123.41
2008/06/04	12:30	123.58
2008/06/04	13:30	124.04
2008/06/04	14:30	123.34
2008/06/04	15:30	123.76
2008/06/04	16:00	122.24
2008/06/05	09:30	123.17
2008/06/05	10:30	122.50
2008/06/05	11:30	122.25
2008/06/05	12:30	122.13
2008/06/05	13:30	121.89
2008/06/05	14:30	123.47
2008/06/05	15:30	123.06
2008/06/05	16:00	122.38
2008/06/06	09:30	128.12
2008/06/06	10:30	129.57
2008/06/06	11:30	129.35
2008/06/06	12:30	129.13
2008/06/06	13:30	130.26
2008/06/06	14:30	133.20
2008/06/06	15:30	132.60
2008/06/06	16:00	133.63
2008/06/09	09:30	136.50
2008/06/09	10:30	135.36
2008/06/09	11:30	135.80
2008/06/09	12:30	135.62
2008/06/09	13:30	135.80
2008/06/09	14:30	135.05
2008/06/09	15:30	135.36
2008/06/09	16:00	135.87
2008/06/10	09:30	133.16
2008/06/10	10:30	134.31
2008/06/10	11:30	134.36
2008/06/10	12:30	135.20
2008/06/10	13:30	137.04
2008/06/10	14:30	135.40
2008/06/10	15:30	136.10
2008/06/10	16:00	134.99
2008/06/11	09:30	133.30
2008/06/11	10:30	133.71
2008/06/11	11:30	133.90
2008/06/11	12:30	133.67
2008/06/11	13:30	133.93
2008/06/11	14:30	134.20
2008/06/11	15:30	135.10
2008/06/11	16:00	134.33
2008/06/12	09:30	135.83
2008/06/12	10:30	135.68
2008/06/12	11:30	134.84
2008/06/12	12:30	133.39
2008/06/12	13:30	134.51
2008/06/12	14:30	133.41
2008/06/12	15:30	134.41
2008/06/12	16:00	133.24
2008/06/13	09:30	136.63
2008/06/13	10:30	136.52
2008/06/13	11:30	135.92
2008/06/13	12:30	135.70
2008/06/13	13:30	136.54
2008/06/13	14:30	134.70
2008/06/13	15:30	134.91
2008/06/13	16:00	134.99
2008/06/16	09:30	134.25
2008/06/16	10:30	134.85
2008/06/16	11:30	135.37
2008/06/16	12:30	135.01
2008/06/16	13:30	135.48
2008/06/16	14:30	138.31
2008/06/16	15:30	137.82
2008/06/16	16:00	136.41
2008/06/17	09:30	134.78
2008/06/17	10:30	133.46
2008/06/17	11:30	132.55
